engine_type,bypass_ratio,press_ratio,rated_output,ambient_baro,ambient_temp,ambient_humidity,fuel_flow_to
1,2.64,13.9,15.6,97.4,286.5,0.00765,0.205
1,2.64,14.3,16.5,97.15,303.5,0.0056,0.225
2,5.23,18.08,33.73,101.3,288,0.0063,0.377
2,5.1,16.6,31.5,101.3,288,0.0063,0.322
2,4.77,17.97,34.91,99.65,299,0.0128,0.3826
2,4.76,17.81,33.73,101.3,288,0.0063,0.38
2,4.77,17.97,34.91,98.95,296,0.0105,0.3826
2,4.77,17.9,34.74,99.65,299,0.0128,0.3805
2,4.77,17.9,34.74,98.95,296,0.0105,0.3805
2,4.81,17.22,33.05,99.65,299,0.0128,0.3589
2,4.81,17.22,33.05,98.95,296,0.0105,0.3589
2,4.77,17.9,34.74,99.65,299,0.0128,0.3806
2,4.77,17.9,34.74,98.95,296,0.0105,0.3806
2,4.79,20.2,42.23,101.3,294,0.0105,0.466
2,4.72,17.2,33,99.65,299,0.0128,0.3583
2,4.72,17.2,33,98.95,296,0.0105,0.3583
2,5.3,16.2,28.6,101.3,288,0.0063,0.28
2,4.72,19.06,37.16,98.95,296,0.0105,0.4122
2,5.2,15.8,29.62,99.65,299,0.0128,0.301
2,5.1,16.58,31.46,99.65,299,0.0128,0.3222
2,4.99,17.44,32.73,101.3,294,0.0105,0.3263
2,4.77,17.97,34.91,98.95,296,0.0105,0.3826
2,4.77,17.9,34.74,98.95,296,0.0105,0.3805
2,4.81,17.22,33.05,98.95,296,0.0105,0.3589
2,4.77,17.9,34.74,98.95,296,0.0105,0.3806
2,4.72,19.06,37.16,98.95,296,0.0105,0.4122
2,4.79,20.2,42.23,101.3,294,0.0105,0.466
2,4.72,17.2,33,98.95,296,0.0105,0.3583
2,0.85,18.4,66.64,103,293,0.01048,1.15
2,2.2,19.45,117.6,102.9,286.5,0.00748,1.67
2,2.35,17.4,112.7,102.65,293,0.00788,1.52
2,2.3,17,107.5,102.45,290,0.01119,1.42
2,5,30.85,156.9,103.45,283,0.004775,1.739
2,4.48,30.8,154.6,98.26,292,0.00946,1.532
2,4.36,33.79,169.7,99.295,290.75,0.00805,1.654
2,4.32,31.23,156.95,99.4,286.25,0.007785,1.38
2,4.2,24.31,65.61,101.8,295.75,0.00805,0.707
2,4.2,24.23,65.61,101.05,284.8,0.00755,0.713
2,4.19,24.16,65.61,101.05,284.8,0.00755,0.714
2,4.05,24.95,68.77,101.05,284.8,0.00755,0.747
2,4.66,28.98,84.16,101.6,291.6,0.00725,0.836
2,4.68,28.75,83.23,101.1,295.8,0.00735,0.831
2,4.6,30.47,89.68,101.6,291.6,0.00725,0.905
2,4.6,30.58,89.68,101.1,295.8,0.00735,0.91
2,4.55,32.01,95.33,101.6,291.6,0.00725,0.98
2,4.54,32.15,95.33,101.1,295.8,0.00735,0.984
2,4.35,26.16,75.7,100.75,296.3,0.007875,0.789
2,4.62,33.14,68.43,101.2,283.85,0.00658,0.682
2,4.19,24.16,65.61,101.05,284.8,0.00755,0.714
2,4.05,24.95,68.77,101.05,284.8,0.00755,0.747
2,4.62,33.14,68.43,101.2,283.85,0.00658,0.682
2,4.35,26.16,75.7,100.75,296.3,0.007875,0.789
1,6,25.2,106.76,96.735,282.5,0.0055,1.114
1,6,23.5,97.86,96.735,282.5,0.0055,0.985
1,6,23.5,97.86,96.735,282.5,0.0055,0.985
1,5.1,22.44,89.41,96.735,282.5,0.0055,0.946
1,5.1,24.1,98.3,96.735,282.5,0.0055,1.056
1,5.1,25.5,104.6,96.735,282.5,0.0055,1.154
1,5.1,21.3,82.29,96.735,282.5,0.0055,0.872
1,6,26.6,111.2,95.15,285.5,0.003,1.051
1,6,27.9,117.88,95.15,285.5,0.003,1.131
1,6,23.8,97.89,95.15,285.5,0.003,0.897
1,6,25.1,104.53,95.15,285.5,0.003,0.972
1,5.7,30.2,133.45,97.835,288.65,0.00715,1.359
1,5.7,30.2,133.45,100.84,296,0.01215,1.345
1,5.7,30.5,133.5,99.12,288.5,0.0098,1.32
1,5.5,30.2,133.4,98.05,285,0.00389,1.318
1,5.7,30.47,133.45,98.9,282.55,0.007,1.295
1,5.6,31.3,137.9,97.835,288.65,0.00715,1.426
1,5.7,31.2,137.9,100.84,296,0.01215,1.406
1,5.6,31.6,137.9,99.12,288.5,0.0098,1.39
1,5.5,31.3,137.9,98.05,285,0.00389,1.385
1,5.6,31.57,137.9,98.9,282.55,0.007,1.361
1,5.6,32.8,142.4,99.12,288.5,0.0098,1.47
1,5.4,32.6,142.3,98.05,285,0.00389,1.462
1,5.6,32.78,142.35,98.9,282.55,0.007,1.43
1,5.9,27.1,117.9,97.835,288.65,0.00715,1.166
1,5.7,27.1,117.9,100.84,296,0.01215,1.18
1,5.9,27.7,120.1,99.12,288.5,0.0098,1.14
1,5.7,27.3,120.1,98.05,285,0.00389,1.142
1,5.9,27.69,120.11,98.9,282.55,0.007,1.132
1,6,23.1,97.9,98.05,285,0.00389,0.894
1,5.9,23.33,97.89,98.9,282.55,0.007,0.891
1,5.7,24.8,104.5,100.15,293,0.0123,0.998
1,6,24.6,104.5,99.12,288.5,0.0098,0.97
1,5.9,24.3,104.5,98.05,285,0.00389,0.965
1,6,24.64,104.53,98.9,282.55,0.007,0.961
1,5.7,27.3,120.1,98.05,285,0.00389,1.142
1,5.9,27.69,120.11,98.9,282.55,0.007,1.132
1,6,22.7,96.1,98.05,285,0.00389,0.875
1,5.9,22.6,94.7,98.9,282.55,0.007,0.875
1,5.9,24.4,102.2,99.12,288.5,0.0098,0.961
1,5.9,24.2,103.6,98.05,285,0.00389,0.956
1,5.9,24,102.2,98.9,282.55,0.007,0.954
2,6.8,28.8,138.78,97.94,290.5,0.00675,1.308
2,6.8,28.2,137.61,97.94,290.5,0.00675,1.252
2,6.7,29.9,144.57,97.94,290.5,0.00675,1.373
2,6.7,29.2,143.33,97.94,290.5,0.00675,1.316
2,6.6,31.15,151.25,97.94,290.5,0.00675,1.456
2,6.6,30.5,149.9,97.94,290.5,0.00675,1.395
1,5.5,30.2,133.4,98.05,285,0.00389,1.318
1,5.5,31.3,137.9,98.05,285,0.00389,1.385
1,5.4,32.6,142.3,98.05,285,0.00389,1.462
1,5.7,27.3,120.1,98.05,285,0.00389,1.142
1,6,23.1,97.9,98.05,285,0.00389,0.894
1,5.9,24.3,104.5,98.05,285,0.00389,0.965
1,5.7,27.3,120.1,98.05,285,0.00389,1.142
1,6,22.7,96.1,98.05,285,0.00389,0.875
1,5.9,24.2,103.6,98.05,285,0.00389,0.956
1,5.5,21.59,86.74,97.9,295.5,0.01285,0.854
1,5.5,21.4,86.7,98.05,285,0.00389,0.842
1,5.4,22.61,91.63,97.9,295.5,0.01285,0.913
1,5.4,22.77,91.63,97.95,294.75,0.01062,0.903
1,5.5,22.4,91.6,98.05,285,0.00389,0.896
1,5.5,22.4,91.6,98.05,285,0.00389,0.896
1,5.3,24.41,100.97,97.9,295.5,0.01285,1.021
1,5.3,24.61,100.97,97.95,294.75,0.01062,1.008
1,5.3,24.2,101,98.05,285,0.00389,1.004
1,5.3,24.2,101,98.05,285,0.00389,1.004
1,5.3,24.2,101,98.05,285,0.00389,1.004
1,5.2,25.78,107.65,97.9,295.5,0.01285,1.103
1,5.2,25.95,107.65,97.95,294.75,0.01062,1.089
1,5.3,25.6,107.6,98.05,285,0.00389,1.086
1,5.3,25.6,107.6,98.05,285,0.00389,1.086
1,5.3,25.6,107.6,98.05,285,0.00389,1.086
1,5.1,27.61,116.99,97.9,295.5,0.01285,1.221
1,5.1,27.61,116.99,97.9,295.5,0.01285,1.221
1,5.1,27.8,116.99,97.95,294.75,0.01062,1.203
1,5.1,27.7,117,98.05,285,0.00389,1.213
1,5.1,27.7,117,96.74,298.8,0.041305,1.213
1,5.1,27.7,117,98.05,285,0.00389,1.213
1,5.1,27.7,117,98.05,285,0.00389,1.213
1,5.1,27.7,117,98.05,285,0.00389,1.213
1,5.1,27.7,117,98.05,285,0.00389,1.213
1,5.1,27.7,117,98.05,285,0.00389,1.213
1,5,28.63,121.44,97.9,295.5,0.01285,1.284
1,5,28.84,121.44,97.95,294.75,0.01062,1.265
1,5.1,29,121.4,98.05,285,0.00389,1.293
1,5.1,29,121.4,98.05,285,0.00389,1.293
1,5.1,29,121.4,98.05,285,0.00389,1.293
1,5.1,29,121.4,98.05,285,0.00389,1.293
1,5.1,29,121.4,98.05,285,0.00389,1.293
1,5.1,29,121.4,98.05,285,0.00389,1.293
1,5.1,29,121.4,98.05,285,0.00389,1.293
1,5.5,22.4,91.6,98.05,285,0.00389,0.896
